epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.858,3.99722,6.32136,3.11761,0.00554,0.07149,0.00236,0.00085,4.07943,77.5476,2.81947,0.0802275,0.000199722,0.000199722
2,419.615,3.23519,2.86231,2.57014,0.37854,0.16899,0.17251,0.05588,3.44861,2.84809,2.3208,0.0604274,0.000399624,0.000399624
3,625.343,3.05988,2.66978,2.44764,0.38637,0.21327,0.19495,0.06798,3.17932,2.5555,2.21644,0.040627,0.000599136,0.000599136
4,834.298,2.89972,2.54408,2.35218,0.44921,0.32596,0.30336,0.10837,2.95561,2.38034,2.13328,0.0208258,0.000797965,0.000797965
5,1044.62,2.81894,2.40921,2.29419,0.35059,0.29447,0.22283,0.07813,2.90654,2.41208,2.08757,0.00102364,0.00099582,0.00099582
6,1254.58,2.75762,2.34377,2.26162,0.4628,0.33319,0.32478,0.12023,2.86225,2.18457,2.11075,0.000993906,0.000993906,0.000993906
7,1466.23,2.64458,2.26856,2.19784,0.47315,0.35447,0.34112,0.11849,2.91342,2.12869,2.05745,0.000991232,0.000991232,0.000991232
8,1677.23,2.63705,2.20999,2.17092,0.48444,0.35872,0.35471,0.1384,2.66387,2.07067,1.96036,0.000988079,0.000988079,0.000988079
9,1884.85,2.59177,2.1627,2.14999,0.46482,0.3681,0.36254,0.15276,2.63082,2.06677,1.94178,0.000984449,0.000984449,0.000984449
10,2091.06,2.51768,2.07723,2.10209,0.52973,0.41532,0.39552,0.16064,2.67727,2.148,1.93085,0.000980345,0.000980345,0.000980345
11,2299.66,2.50937,2.06151,2.0881,0.56639,0.37362,0.39765,0.16637,2.55391,2.21278,1.90205,0.000975773,0.000975773,0.000975773
12,2511.88,2.4357,1.94438,2.06112,0.52964,0.42596,0.4322,0.17188,2.60533,1.91118,1.89914,0.000970736,0.000970736,0.000970736
13,2714.18,2.44352,1.9495,2.05024,0.47195,0.39288,0.37617,0.13932,2.5866,2.49368,1.90494,0.000965239,0.000965239,0.000965239
14,2915.22,2.39262,1.89968,2.0221,0.58097,0.44085,0.47294,0.20961,2.39773,1.67358,1.82642,0.000959289,0.000959289,0.000959289
15,3116.03,2.39098,1.88024,2.0344,0.57414,0.42638,0.45012,0.17443,2.57669,1.79653,1.89384,0.000952889,0.000952889,0.000952889
16,3316.48,2.39684,1.86902,2.02463,0.61527,0.4434,0.48218,0.19629,2.49612,1.73935,1.86797,0.000946048,0.000946048,0.000946048
17,3517.22,2.33947,1.82707,2.00839,0.58471,0.47191,0.49358,0.20953,2.44433,1.68055,1.8388,0.000938772,0.000938772,0.000938772
18,3718.66,2.34491,1.7922,1.99844,0.57049,0.44426,0.46349,0.19407,2.43532,1.90386,1.84353,0.000931067,0.000931067,0.000931067
19,3918.95,2.31276,1.77034,1.98341,0.62144,0.47617,0.52042,0.2271,2.3669,1.60049,1.80249,0.000922942,0.000922942,0.000922942
20,4119.68,2.30384,1.73621,1.96219,0.60843,0.46255,0.4985,0.21534,2.40273,1.62358,1.82356,0.000914405,0.000914405,0.000914405
21,4320.36,2.27136,1.70516,1.96008,0.6247,0.50085,0.52847,0.23356,2.35441,1.57109,1.80893,0.000905463,0.000905463,0.000905463
22,4520.92,2.26886,1.68381,1.95073,0.65794,0.51075,0.54843,0.24276,2.38726,1.59731,1.8138,0.000896127,0.000896127,0.000896127
23,4722.11,2.27706,1.69078,1.93624,0.62707,0.5017,0.54553,0.23734,2.3428,1.67721,1.75867,0.000886404,0.000886404,0.000886404
24,4922.99,2.23202,1.66025,1.93197,0.66312,0.5277,0.56968,0.25042,2.36378,1.58329,1.79199,0.000876305,0.000876305,0.000876305
25,5123.93,2.24661,1.65876,1.93718,0.67028,0.4853,0.54721,0.25506,2.31252,1.54057,1.75897,0.000865839,0.000865839,0.000865839
26,5324.52,2.2299,1.6145,1.93354,0.67369,0.52273,0.57628,0.25988,2.27849,1.47306,1.76105,0.000855018,0.000855018,0.000855018
27,5525.1,2.20589,1.61328,1.92264,0.63923,0.50766,0.54424,0.24253,2.30483,1.57636,1.75703,0.000843851,0.000843851,0.000843851
28,5726.13,2.20514,1.59117,1.91887,0.66037,0.52043,0.58342,0.2614,2.36095,1.49302,1.77675,0.000832349,0.000832349,0.000832349
29,5926.63,2.19425,1.58851,1.91096,0.69266,0.54511,0.60443,0.27434,2.31397,1.47489,1.77196,0.000820525,0.000820525,0.000820525
30,6127.1,2.19682,1.57385,1.91281,0.69606,0.52851,0.58528,0.26657,2.32525,1.48238,1.7621,0.000808389,0.000808389,0.000808389
31,6327.72,2.16119,1.55073,1.88772,0.6957,0.54596,0.60711,0.27575,2.33159,1.49316,1.75241,0.000795954,0.000795954,0.000795954
32,6528.25,2.17602,1.54652,1.89231,0.71471,0.56927,0.61978,0.2887,2.2613,1.40134,1.74887,0.000783231,0.000783231,0.000783231
33,6729.45,2.15936,1.52378,1.8884,0.69963,0.55108,0.61031,0.28882,2.22477,1.46026,1.73802,0.000770234,0.000770234,0.000770234
34,6930.38,2.16332,1.52572,1.88295,0.69851,0.56596,0.62724,0.30408,2.19769,1.36883,1.71693,0.000756976,0.000756976,0.000756976
35,7131.97,2.13794,1.48218,1.88091,0.71767,0.55814,0.61877,0.28477,2.24579,1.49393,1.74239,0.000743468,0.000743468,0.000743468
36,7333.17,2.1134,1.47472,1.86115,0.70088,0.55745,0.61551,0.28776,2.24348,1.44044,1.72848,0.000729725,0.000729725,0.000729725
37,7534.07,2.12659,1.45603,1.86147,0.7084,0.57168,0.62503,0.29712,2.24439,1.46598,1.71668,0.000715761,0.000715761,0.000715761
38,7735.66,2.11718,1.4318,1.86619,0.73676,0.59021,0.64801,0.3084,2.20084,1.33461,1.71667,0.000701588,0.000701588,0.000701588
39,7936.27,2.11633,1.43225,1.85939,0.71785,0.5834,0.64311,0.30483,2.23931,1.39367,1.72828,0.000687222,0.000687222,0.000687222
40,8137.09,2.13309,1.44632,1.85778,0.74286,0.5913,0.6526,0.31001,2.19174,1.33216,1.71194,0.000672675,0.000672675,0.000672675
41,8338.4,2.0812,1.42076,1.84849,0.72783,0.59404,0.65489,0.30854,2.19348,1.32896,1.70494,0.000657963,0.000657963,0.000657963
42,8539.58,2.07977,1.40503,1.84142,0.72256,0.57872,0.64502,0.3066,2.20838,1.34981,1.71177,0.000643101,0.000643101,0.000643101
43,8740.31,2.07484,1.37779,1.83468,0.72414,0.61234,0.666,0.32228,2.16787,1.28212,1.69639,0.000628101,0.000628101,0.000628101
44,8941.06,2.07581,1.37245,1.8334,0.74971,0.58634,0.66159,0.32065,2.1757,1.33568,1.69208,0.000612981,0.000612981,0.000612981
45,9142.14,2.07022,1.33983,1.83518,0.75183,0.59234,0.67009,0.32772,2.14764,1.30886,1.6872,0.000597754,0.000597754,0.000597754
46,9343.42,2.05404,1.34365,1.82562,0.76427,0.59957,0.67519,0.32429,2.16767,1.34395,1.6979,0.000582435,0.000582435,0.000582435
47,9544.08,2.06742,1.35631,1.8288,0.76513,0.59021,0.67622,0.32895,2.16636,1.31554,1.68947,0.00056704,0.00056704,0.00056704
48,9745.47,2.05396,1.33575,1.81912,0.76786,0.61362,0.68621,0.34264,2.13118,1.28178,1.68057,0.000551584,0.000551584,0.000551584
49,9946.05,2.06184,1.34309,1.82512,0.76995,0.5983,0.68318,0.33456,2.16804,1.28462,1.69128,0.000536081,0.000536081,0.000536081
50,10147.2,2.02659,1.31879,1.82118,0.76475,0.62251,0.69373,0.34166,2.15138,1.28073,1.68769,0.000520548,0.000520548,0.000520548
51,10348.1,2.02397,1.31382,1.8158,0.76248,0.61234,0.69203,0.33464,2.16261,1.28857,1.68935,0.000505,0.000505,0.000505
52,10549,2.03443,1.29981,1.80771,0.77933,0.60716,0.68953,0.33839,2.16416,1.2868,1.67922,0.000489452,0.000489452,0.000489452
53,10749.9,2.01089,1.29305,1.79612,0.76708,0.61943,0.6947,0.34494,2.12926,1.26139,1.67533,0.000473919,0.000473919,0.000473919
54,10950.9,2.02441,1.2626,1.80937,0.77647,0.6149,0.6975,0.34168,2.15214,1.24857,1.68619,0.000458416,0.000458416,0.000458416
55,11152.4,2.00225,1.26529,1.79575,0.76207,0.64723,0.70693,0.35286,2.10213,1.22709,1.67202,0.00044296,0.00044296,0.00044296
56,11353.2,1.99917,1.25168,1.79361,0.75679,0.62809,0.70328,0.35122,2.13553,1.24074,1.67917,0.000427565,0.000427565,0.000427565
57,11554.5,1.99439,1.24072,1.79014,0.78902,0.63021,0.71378,0.35955,2.11505,1.2263,1.67037,0.000412246,0.000412246,0.000412246
58,11755.5,1.98858,1.24931,1.79322,0.79402,0.62499,0.71561,0.35719,2.12315,1.23327,1.67159,0.000397019,0.000397019,0.000397019
59,11956.9,1.97549,1.23133,1.78717,0.78297,0.64,0.72082,0.3608,2.11058,1.19793,1.66576,0.000381899,0.000381899,0.000381899
60,12157.9,1.97547,1.21624,1.78203,0.7963,0.63787,0.72407,0.3611,2.09845,1.19718,1.66494,0.000366899,0.000366899,0.000366899
61,12359.1,1.97089,1.19654,1.7792,0.77277,0.64298,0.7178,0.36017,2.10545,1.19659,1.66573,0.000352037,0.000352037,0.000352037
62,12560,1.95533,1.17874,1.77113,0.79438,0.64444,0.72613,0.36063,2.10864,1.19108,1.66436,0.000337325,0.000337325,0.000337325
63,12760.5,1.96202,1.18862,1.7746,0.78989,0.63191,0.72824,0.36747,2.10467,1.19232,1.65948,0.000322778,0.000322778,0.000322778
64,12961.5,1.93935,1.16911,1.75649,0.80869,0.64395,0.73155,0.368,2.10743,1.15987,1.65891,0.000308412,0.000308412,0.000308412
65,13162.3,1.95461,1.17903,1.75892,0.80948,0.65269,0.73543,0.37299,2.09211,1.15773,1.65713,0.000294239,0.000294239,0.000294239
66,13363.4,1.9469,1.17301,1.77221,0.80087,0.63787,0.72798,0.36867,2.09593,1.17898,1.65838,0.000280275,0.000280275,0.000280275
67,13564,1.94582,1.16045,1.76829,0.80475,0.65277,0.73639,0.36966,2.09281,1.16992,1.65842,0.000266532,0.000266532,0.000266532
68,13764.4,1.91367,1.12766,1.74798,0.80236,0.64784,0.73988,0.37456,2.09024,1.16005,1.65451,0.000253024,0.000253024,0.000253024
69,13964.9,1.92183,1.14023,1.76103,0.81133,0.66241,0.74021,0.37834,2.08704,1.16533,1.65448,0.000239766,0.000239766,0.000239766
70,14166.1,1.93613,1.15381,1.76519,0.81371,0.65426,0.73812,0.38059,2.07638,1.16247,1.65268,0.000226769,0.000226769,0.000226769
71,14366.6,1.91255,1.1155,1.75016,0.81071,0.65612,0.74131,0.37995,2.08271,1.16126,1.65701,0.000214046,0.000214046,0.000214046
72,14567.5,1.91707,1.11698,1.74401,0.81353,0.65907,0.74595,0.38148,2.07721,1.1549,1.65262,0.000201611,0.000201611,0.000201611
73,14768.6,1.91265,1.12436,1.75285,0.81521,0.6583,0.74807,0.37879,2.08355,1.15643,1.64955,0.000189475,0.000189475,0.000189475
74,14969.4,1.91642,1.12582,1.75146,0.81289,0.66183,0.74867,0.38275,2.08479,1.15746,1.64839,0.000177651,0.000177651,0.000177651
75,15170.1,1.88266,1.09779,1.73886,0.8326,0.65397,0.74777,0.38246,2.09851,1.16183,1.6496,0.000166149,0.000166149,0.000166149
76,15371.1,1.90777,1.09941,1.7388,0.82706,0.65532,0.74666,0.38463,2.0756,1.14991,1.6471,0.000154982,0.000154982,0.000154982
77,15572.8,1.90142,1.07531,1.73791,0.80355,0.67064,0.74865,0.38197,2.08098,1.15835,1.64799,0.000144161,0.000144161,0.000144161
78,15773.2,1.88858,1.07539,1.73691,0.80554,0.66807,0.74797,0.382,2.0828,1.15761,1.65022,0.000133695,0.000133695,0.000133695
79,15974.2,1.88885,1.07851,1.74015,0.81276,0.6668,0.74751,0.38154,2.08338,1.16829,1.64859,0.000123596,0.000123596,0.000123596
80,16174.8,1.89926,1.08273,1.7419,0.81089,0.66598,0.74891,0.382,2.08336,1.16111,1.64896,0.000113873,0.000113873,0.000113873
81,16376,1.89178,1.07135,1.73454,0.80767,0.66298,0.751,0.38243,2.08672,1.15665,1.649,0.000104537,0.000104537,0.000104537
82,16576.6,1.87599,1.06531,1.73082,0.82267,0.65362,0.75076,0.38341,2.08535,1.15479,1.64876,9.55951e-05,9.55951e-05,9.55951e-05
83,16778.6,1.89236,1.05668,1.74046,0.81351,0.65915,0.7509,0.38496,2.07943,1.14793,1.64934,8.70577e-05,8.70577e-05,8.70577e-05
84,16980.3,1.86933,1.05006,1.7252,0.81564,0.6627,0.75457,0.38533,2.06692,1.13989,1.64604,7.89327e-05,7.89327e-05,7.89327e-05
85,17181.9,1.88339,1.06283,1.72669,0.81132,0.67149,0.7537,0.38663,2.05801,1.13608,1.64422,7.12282e-05,7.12282e-05,7.12282e-05
86,17383.1,1.86799,1.05555,1.73056,0.80977,0.67024,0.75261,0.3857,2.06066,1.14049,1.644,6.39518e-05,6.39518e-05,6.39518e-05
87,17583.9,1.88696,1.05277,1.7293,0.81178,0.66936,0.75503,0.38904,2.06003,1.13695,1.64448,5.71106e-05,5.71106e-05,5.71106e-05
88,17784.1,1.87937,1.0428,1.72887,0.81505,0.6751,0.75703,0.39004,2.06067,1.13735,1.64436,5.07115e-05,5.07115e-05,5.07115e-05
89,17984.6,1.86914,1.03919,1.7242,0.8118,0.67191,0.75692,0.39022,2.06647,1.13968,1.64448,4.47606e-05,4.47606e-05,4.47606e-05
90,18185.2,1.86178,1.04347,1.72278,0.81254,0.66766,0.75715,0.39079,2.06523,1.13916,1.64368,3.9264e-05,3.9264e-05,3.9264e-05
91,18420.1,1.85498,1.02621,1.73312,0.8135,0.66638,0.75577,0.38955,2.06785,1.14797,1.64386,3.4227e-05,3.4227e-05,3.4227e-05
92,18620.6,1.82895,1.00076,1.70939,0.81968,0.6654,0.75691,0.3901,2.07169,1.14686,1.64487,2.96546e-05,2.96546e-05,2.96546e-05
93,18821,1.84064,1.01026,1.72552,0.81736,0.66596,0.7569,0.38967,2.07169,1.1461,1.64591,2.55513e-05,2.55513e-05,2.55513e-05
94,19021.5,1.84357,1.00698,1.71578,0.81745,0.66638,0.75557,0.3897,2.06738,1.14658,1.64512,2.19212e-05,2.19212e-05,2.19212e-05
95,19221.9,1.83651,1.01494,1.71804,0.81853,0.66795,0.75645,0.38969,2.06686,1.14678,1.64504,1.87678e-05,1.87678e-05,1.87678e-05
96,19422.9,1.85012,1.00712,1.71239,0.81982,0.66993,0.75865,0.39071,2.06726,1.14706,1.64554,1.60943e-05,1.60943e-05,1.60943e-05
97,19623.4,1.85614,1.01495,1.72555,0.82054,0.67234,0.75827,0.38992,2.06784,1.1436,1.64579,1.39032e-05,1.39032e-05,1.39032e-05
98,19824.2,1.84693,1.00224,1.72234,0.81947,0.67221,0.75838,0.39,2.06796,1.14478,1.64581,1.21968e-05,1.21968e-05,1.21968e-05
