epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.816,1.97275,1.37162,1.89461,0.70658,0.63418,0.6835,0.37022,1.77579,1.31749,1.7685,0.0802198,0.0001998,0.0001998
2,707.569,1.92108,1.30958,1.87894,0.78592,0.62801,0.723,0.36459,1.88353,1.1404,1.79926,0.0604195,0.000399529,0.000399529
3,1048.29,1.95748,1.30096,1.89457,0.76376,0.62739,0.7121,0.37695,1.79054,1.18713,1.76765,0.0406182,0.000598174,0.000598174
4,1387.44,1.90699,1.28733,1.86031,0.75529,0.64357,0.71466,0.35359,1.88734,1.13063,1.79475,0.0208149,0.000794926,0.000794926
5,1723.86,1.91154,1.27002,1.8742,0.75872,0.62466,0.70935,0.37381,1.81731,1.12179,1.77295,0.00100899,0.000988985,0.000988985
6,2060.83,1.89176,1.26891,1.85146,0.72397,0.59284,0.68091,0.35213,1.87564,1.11098,1.7954,0.000983133,0.000983133,0.000983133
7,2393.14,1.91904,1.24375,1.86919,0.79724,0.65515,0.74448,0.38221,1.86363,1.0543,1.78299,0.000975773,0.000975773,0.000975773
8,2723.3,1.90252,1.22454,1.86832,0.79333,0.62862,0.71448,0.35706,1.86442,1.09943,1.79479,0.000967122,0.000967122,0.000967122
9,3053.36,1.88881,1.20381,1.85311,0.76567,0.63418,0.72004,0.38176,1.81485,1.07913,1.77208,0.000957205,0.000957205,0.000957205
10,3394.89,1.86783,1.23087,1.84886,0.77766,0.63541,0.72785,0.38912,1.79593,1.12465,1.74321,0.000946048,0.000946048,0.000946048
11,3739.36,1.85601,1.19909,1.84047,0.78189,0.6169,0.71377,0.3924,1.73707,1.23885,1.74281,0.000933683,0.000933683,0.000933683
12,4079.25,1.8727,1.18828,1.83777,0.77,0.65762,0.7335,0.39855,1.76957,1.05035,1.74162,0.000920142,0.000920142,0.000920142
13,4403.8,1.87509,1.19351,1.84934,0.79474,0.65762,0.75833,0.42184,1.71386,1.00284,1.71685,0.000905463,0.000905463,0.000905463
14,4727.28,1.84974,1.17109,1.83518,0.76254,0.64343,0.71998,0.36636,1.887,1.05335,1.79742,0.000889687,0.000889687,0.000889687
15,5051.94,1.83215,1.14538,1.8267,0.81008,0.6607,0.75526,0.41356,1.76016,0.98255,1.75992,0.000872857,0.000872857,0.000872857
16,5375.93,1.84424,1.15022,1.82507,0.79074,0.66668,0.75867,0.40776,1.78255,0.99155,1.73985,0.000855018,0.000855018,0.000855018
17,5700.19,1.85659,1.15224,1.84438,0.78374,0.67965,0.74328,0.39254,1.78987,1.06941,1.74324,0.00083622,0.00083622,0.00083622
18,6024.94,1.81457,1.12187,1.8198,0.8041,0.65453,0.74742,0.37796,1.88926,1.03054,1.78004,0.000816514,0.000816514,0.000816514
19,6349.01,1.81128,1.11543,1.80625,0.80461,0.64651,0.75318,0.40432,1.7763,0.98134,1.73662,0.000795954,0.000795954,0.000795954
20,6672.99,1.82021,1.10134,1.8157,0.81426,0.66934,0.76507,0.40219,1.80381,0.94729,1.74986,0.000774596,0.000774596,0.000774596
21,6996.22,1.81543,1.08329,1.80714,0.80511,0.67859,0.7701,0.40951,1.7935,0.95687,1.74952,0.0007525,0.0007525,0.0007525
22,7317.85,1.79616,1.07984,1.79982,0.79626,0.67988,0.76288,0.42117,1.7544,0.94937,1.73643,0.000729725,0.000729725,0.000729725
23,7641.51,1.8136,1.06953,1.80851,0.80757,0.68089,0.76459,0.42075,1.73299,0.9604,1.71303,0.000706335,0.000706335,0.000706335
24,7965.07,1.80117,1.07544,1.7981,0.8054,0.65871,0.76267,0.38904,1.86757,0.96118,1.77561,0.000682392,0.000682392,0.000682392
25,8288.67,1.76882,1.04386,1.79192,0.80684,0.67512,0.77323,0.43055,1.71621,0.93824,1.7139,0.000657963,0.000657963,0.000657963
26,8612.94,1.78931,1.0611,1.8064,0.81837,0.69772,0.7866,0.42012,1.75761,0.92305,1.72633,0.000633115,0.000633115,0.000633115
27,8937.07,1.77201,1.03285,1.78745,0.83467,0.67489,0.78977,0.41184,1.82452,0.9316,1.75197,0.000607916,0.000607916,0.000607916
28,9261.57,1.78156,1.05272,1.78441,0.82031,0.68785,0.78064,0.4285,1.73421,0.92035,1.7217,0.000582435,0.000582435,0.000582435
29,9585.18,1.76624,1.02736,1.78388,0.8316,0.67428,0.79297,0.43811,1.71931,0.88549,1.71066,0.000556742,0.000556742,0.000556742
30,9909.64,1.75608,1.01684,1.78345,0.79817,0.67551,0.77607,0.42008,1.75834,0.93036,1.71177,0.000530906,0.000530906,0.000530906
31,10233.2,1.74629,1.00531,1.76972,0.81365,0.6897,0.78549,0.43337,1.72477,0.91135,1.70924,0.000505,0.000505,0.000505
32,10557.2,1.73413,0.98662,1.76132,0.83329,0.68661,0.7861,0.42738,1.77994,0.89541,1.73127,0.000479094,0.000479094,0.000479094
33,10881.2,1.72601,0.97842,1.75509,0.82584,0.68744,0.79159,0.43269,1.75407,0.88769,1.71523,0.000453258,0.000453258,0.000453258
34,11205.3,1.71283,0.98045,1.75734,0.83711,0.70067,0.79531,0.43742,1.72352,0.86835,1.7066,0.000427565,0.000427565,0.000427565
35,11529.3,1.72651,0.96576,1.76172,0.82235,0.70389,0.79306,0.43046,1.72934,0.87232,1.71071,0.000402084,0.000402084,0.000402084
36,11852.8,1.71052,0.94593,1.76749,0.83617,0.70635,0.79488,0.43741,1.71817,0.85659,1.70718,0.000376885,0.000376885,0.000376885
37,12177.2,1.70808,0.95011,1.75555,0.83848,0.69493,0.7999,0.43655,1.75529,0.85562,1.70913,0.000352037,0.000352037,0.000352037
38,12501.2,1.72834,0.95602,1.76635,0.82142,0.72925,0.80652,0.44375,1.70633,0.84844,1.70196,0.000327608,0.000327608,0.000327608
39,12825.2,1.68386,0.90927,1.74421,0.81533,0.72177,0.80107,0.44259,1.70488,0.87158,1.69138,0.000303665,0.000303665,0.000303665
40,13148.7,1.68707,0.9302,1.74161,0.81631,0.72649,0.80378,0.43726,1.73818,0.84669,1.70524,0.000280275,0.000280275,0.000280275
41,13473,1.69727,0.91953,1.74902,0.82321,0.72677,0.81208,0.45588,1.67767,0.82959,1.68541,0.0002575,0.0002575,0.0002575
42,13797.4,1.67917,0.91545,1.7377,0.82067,0.73121,0.81206,0.46171,1.65004,0.82861,1.67263,0.000235404,0.000235404,0.000235404
43,14121.7,1.66283,0.88434,1.73013,0.83542,0.71397,0.80988,0.45394,1.68292,0.83382,1.68195,0.000214046,0.000214046,0.000214046
