epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1375,1.878,0.95576,1.66241,0.90083,0.76771,0.82491,0.44202,2.14925,1.16848,1.58053,0.0804475,0.0001975,0.0001975
2,48.7597,1.81496,0.87599,1.62615,0.90181,0.76771,0.82749,0.4472,2.06512,1.45713,1.55525,0.0606474,0.000397403,0.000397403
3,76.9182,1.77682,0.84355,1.60338,0.93333,0.75355,0.84569,0.46205,1.98599,1.19857,1.54879,0.0408469,0.000596916,0.000596916
4,110.785,1.7291,0.80256,1.58133,0.90679,0.77164,0.85264,0.47581,1.97545,1.24569,1.54048,0.0210457,0.000795748,0.000795748
5,136.593,1.70583,0.78867,1.58521,0.89433,0.7932,0.84698,0.46163,2.00518,1.18527,1.54836,0.00124361,0.000993607,0.000993607
6,264.013,1.70625,0.76846,1.57318,0.90523,0.81174,0.86951,0.47719,2.06528,1.11553,1.55554,0.000993906,0.000993906,0.000993906
7,289.315,1.71745,0.76123,1.56483,0.91627,0.80601,0.87297,0.5169,1.91739,1.02055,1.52745,0.000991232,0.000991232,0.000991232
8,312.697,1.70422,0.7694,1.55885,0.8732,0.78031,0.85683,0.48254,2.02135,1.16654,1.53523,0.000988079,0.000988079,0.000988079
9,336.442,1.61836,0.72237,1.54082,0.91045,0.78187,0.86817,0.47867,2.05652,1.09374,1.53015,0.000984449,0.000984449,0.000984449
10,359.741,1.66074,0.74682,1.55265,0.91433,0.78613,0.86989,0.4887,1.93521,1.08834,1.51851,0.000980345,0.000980345,0.000980345
11,382.851,1.68243,0.73837,1.54913,0.90577,0.83569,0.8853,0.49434,1.99721,0.92085,1.53544,0.000975773,0.000975773,0.000975773
12,413.527,1.62662,0.73393,1.5496,0.91414,0.80737,0.86807,0.49379,2.03419,1.1392,1.53142,0.000970736,0.000970736,0.000970736
13,436.813,1.61373,0.73711,1.53561,0.92739,0.79037,0.88508,0.50755,1.88058,0.95676,1.51217,0.000965239,0.000965239,0.000965239
14,460.677,1.6232,0.71411,1.55461,0.94403,0.8102,0.88631,0.51062,1.88884,1.05259,1.51194,0.000959289,0.000959289,0.000959289
15,484.169,1.63842,0.71622,1.55116,0.90325,0.77337,0.86056,0.48776,1.99383,1.30142,1.53931,0.000952889,0.000952889,0.000952889
16,507.569,1.62723,0.70674,1.55429,0.92089,0.79603,0.87531,0.52803,1.82228,0.99532,1.50942,0.000946048,0.000946048,0.000946048
17,530.852,1.5717,0.69903,1.51152,0.92807,0.76756,0.86641,0.51133,2.01247,1.08819,1.52166,0.000938772,0.000938772,0.000938772
18,554.355,1.57191,0.70446,1.53115,0.91584,0.80154,0.87973,0.51641,1.9539,1.16174,1.51626,0.000931067,0.000931067,0.000931067
19,578.315,1.55948,0.6778,1.51797,0.91886,0.8187,0.89139,0.51175,1.85057,0.97487,1.50569,0.000922942,0.000922942,0.000922942
20,602.287,1.55627,0.67641,1.51418,0.92758,0.82153,0.87736,0.51295,1.88814,1.12639,1.52127,0.000914405,0.000914405,0.000914405
21,626.035,1.58114,0.69647,1.51553,0.91138,0.78754,0.87045,0.51223,1.97942,1.4834,1.51119,0.000905463,0.000905463,0.000905463
22,649.666,1.63053,0.70829,1.53592,0.92118,0.83569,0.89873,0.5341,1.87866,0.9263,1.50417,0.000896127,0.000896127,0.000896127
23,673.507,1.55621,0.68128,1.51447,0.9232,0.8017,0.87959,0.5088,1.90523,1.11539,1.5176,0.000886404,0.000886404,0.000886404
24,704.202,1.58244,0.67244,1.52256,0.95133,0.83051,0.90384,0.50968,1.91092,0.8809,1.51894,0.000876305,0.000876305,0.000876305
25,727.798,1.55863,0.6781,1.51125,0.9491,0.84513,0.89808,0.50293,1.9057,0.93603,1.51621,0.000865839,0.000865839,0.000865839
26,751.203,1.5396,0.6747,1.51667,0.9357,0.78327,0.88941,0.49858,1.96742,1.05287,1.52762,0.000855018,0.000855018,0.000855018
27,774.369,1.55093,0.67308,1.52252,0.93213,0.85594,0.90964,0.53785,1.76247,0.88625,1.49281,0.000843851,0.000843851,0.000843851
28,797.506,1.53052,0.69296,1.51017,0.9471,0.83286,0.90552,0.54058,1.75954,0.9344,1.48171,0.000832349,0.000832349,0.000832349
29,821.357,1.57531,0.66889,1.52026,0.91459,0.84938,0.89401,0.49921,1.8953,1.13314,1.51126,0.000820525,0.000820525,0.000820525
30,852.764,1.52493,0.66825,1.50186,0.94338,0.84986,0.91861,0.51564,1.91096,0.91586,1.51184,0.000808389,0.000808389,0.000808389
31,875.829,1.55506,0.66068,1.5165,0.94942,0.85269,0.9116,0.53146,1.80532,1.03962,1.4896,0.000795954,0.000795954,0.000795954
32,899.07,1.52874,0.65883,1.50414,0.932,0.8542,0.9115,0.53116,1.81145,0.91867,1.49796,0.000783231,0.000783231,0.000783231
33,922.324,1.53069,0.67166,1.50023,0.94776,0.83853,0.90974,0.56248,1.7388,0.87182,1.47815,0.000770234,0.000770234,0.000770234
34,946.049,1.51033,0.64669,1.49523,0.97092,0.85119,0.91709,0.52067,1.98706,0.86947,1.52413,0.000756976,0.000756976,0.000756976
35,969.278,1.53795,0.64814,1.51447,0.94641,0.84703,0.90227,0.51721,1.82489,0.99069,1.50316,0.000743468,0.000743468,0.000743468
36,992.057,1.50339,0.64527,1.50543,0.9401,0.84419,0.90696,0.52823,1.87018,0.97085,1.50195,0.000729725,0.000729725,0.000729725
